date,energy_Wh,clouds,temp,humidity
2025-09-26 20:16:41,4.657,40,28.97,89
2025-09-26 20:16:42,4.657,40,28.97,89
2025-09-26 20:16:42,4.657,40,28.97,89
2025-09-26 20:16:43,4.657,40,28.97,89
2025-09-26 20:16:44,4.657,40,28.97,89
2025-09-26 20:16:45,4.657,40,28.97,89
2025-09-26 20:16:45,4.657,40,28.97,89
2025-09-26 20:16:46,4.657,40,28.97,89
2025-09-26 20:16:48,4.657,40,28.97,89
2025-09-26 20:16:49,4.657,40,28.97,89
2025-09-26 20:16:49,4.657,40,28.97,89
2025-09-26 20:16:50,4.657,40,28.97,89
2025-09-26 20:16:51,4.657,40,28.97,89
2025-09-26 20:16:52,4.657,40,28.97,89
2025-09-26 20:16:52,4.664,40,28.97,89
2025-09-26 20:16:53,4.664,40,28.97,89
2025-09-26 20:16:54,4.664,40,28.97,89
2025-09-26 20:16:55,4.664,40,28.97,89
2025-09-26 20:16:55,4.664,40,28.97,89
2025-09-26 20:16:56,4.664,40,28.97,89
2025-09-26 20:16:57,4.664,40,28.97,89
2025-09-26 20:16:58,4.664,40,28.97,89
2025-09-26 20:17:03,4.664,40,28.97,89
2025-09-26 20:17:04,4.664,40,28.97,89
2025-09-26 20:17:06,4.664,40,28.97,89
2025-09-26 20:17:07,4.664,40,28.97,89
2025-09-26 20:17:09,4.664,40,28.97,89
2025-09-26 20:17:10,4.664,40,28.97,89
2025-09-26 20:17:11,4.664,40,28.97,89
2025-09-26 20:17:13,4.664,40,28.97,89
2025-09-26 20:17:14,4.664,40,28.97,89
2025-09-26 20:17:15,4.664,40,28.97,89
2025-09-26 20:17:17,4.664,40,28.97,89
2025-09-26 20:17:21,4.664,40,28.97,89
2025-09-26 20:17:22,4.67,40,28.97,89
2025-09-26 20:17:24,4.67,40,28.97,89
2025-09-26 20:17:25,4.67,40,28.97,89
2025-09-26 20:17:27,4.67,40,28.97,89
2025-09-26 20:17:28,4.67,40,28.97,89
2025-09-26 20:17:30,4.67,40,28.97,89
2025-09-26 20:17:32,4.67,40,28.97,89
2025-09-26 20:17:33,4.67,40,28.97,89
2025-09-26 20:17:35,4.67,40,28.97,89
2025-09-26 20:17:36,4.67,40,28.97,89
2025-09-26 20:17:38,4.67,40,28.97,89
2025-09-26 20:17:39,4.67,40,28.97,89
2025-09-26 20:17:41,4.67,40,28.97,89
2025-09-26 20:17:42,4.67,40,28.97,89
2025-09-26 20:17:44,4.67,40,28.97,89
2025-09-26 20:17:46,4.67,40,28.97,89
2025-09-26 20:17:47,4.67,40,28.97,89
2025-09-26 20:17:51,4.67,40,28.97,89
2025-09-26 20:17:54,4.673,40,28.97,89
2025-09-26 20:17:58,4.673,40,28.97,89
2025-09-26 20:18:02,4.673,40,28.97,89
2025-09-26 20:18:05,4.673,40,28.97,89
2025-09-26 20:18:09,4.673,40,28.97,89
2025-09-26 20:18:13,4.673,40,28.97,89
2025-09-26 20:18:17,4.673,40,28.97,89
2025-09-26 20:18:21,4.673,40,28.97,89
2025-09-26 20:18:25,4.679,40,28.97,89
2025-09-26 20:18:29,4.679,40,28.97,89
2025-09-26 20:18:33,4.679,40,28.97,89
2025-09-26 20:18:37,4.679,40,28.97,89
2025-09-26 20:18:41,4.679,40,28.97,89
2025-09-26 20:18:44,4.679,40,28.97,89
2025-09-26 20:18:49,4.679,40,28.97,89
2025-09-26 20:18:53,4.683,40,28.97,89
2025-09-26 20:18:57,4.683,40,28.97,89
2025-09-26 20:19:01,4.683,40,28.97,89
2025-09-26 20:19:05,4.683,40,28.97,89
2025-09-26 20:19:09,4.683,40,28.97,89
2025-09-26 20:19:14,4.683,40,28.97,89
2025-09-26 20:19:18,4.683,40,28.97,89
2025-09-26 20:19:22,4.683,40,28.97,89
2025-09-26 20:19:26,4.687,40,28.97,89
2025-09-26 20:19:30,4.687,40,28.97,89
2025-09-26 20:19:35,4.687,40,28.97,89
2025-09-26 20:19:39,4.687,40,28.97,89
2025-09-26 20:19:43,4.687,40,28.97,89
2025-09-26 20:19:47,4.687,40,28.97,89
2025-09-26 20:19:51,4.687,40,28.97,89
2025-09-26 20:19:55,4.692,40,28.97,89
2025-09-26 20:20:00,4.692,40,28.97,89
2025-09-26 20:20:04,4.692,40,28.97,89
2025-09-26 20:20:08,4.692,40,28.97,89
2025-09-26 20:20:12,4.692,40,28.97,89
2025-09-26 20:20:16,4.692,40,28.97,89
2025-09-26 20:20:20,4.692,40,28.97,89
2025-09-26 20:20:24,4.692,40,28.97,89
2025-09-26 20:20:29,4.692,40,28.97,89
2025-09-26 20:20:33,4.692,40,28.97,89
2025-09-26 20:20:37,4.692,40,28.97,89
2025-09-26 20:20:40,4.692,40,28.97,89
2025-09-26 20:20:44,4.692,40,28.97,89
2025-09-26 20:20:48,4.697,40,28.97,89
2025-09-26 20:20:52,4.699,40,28.97,89
2025-09-26 20:20:56,4.701,40,28.97,89
2025-09-26 20:21:00,4.701,40,28.97,89
2025-09-26 20:21:03,4.702,40,28.97,89
2025-09-26 20:21:07,4.703,40,28.97,89
2025-09-26 20:21:11,4.704,40,28.97,89
2025-09-26 20:21:15,4.704,40,28.97,89
2025-09-26 20:21:19,4.704,40,28.97,89
2025-09-26 20:21:23,4.705,40,28.97,89
2025-09-26 20:21:27,4.706,40,28.97,89
2025-09-26 20:21:31,4.707,40,28.97,89
2025-09-26 20:21:34,4.707,40,28.97,89
2025-09-26 20:21:38,4.708,40,28.97,89
2025-09-26 20:21:42,4.71,40,28.97,89
2025-09-26 20:21:46,4.711,40,28.97,89
2025-09-26 20:21:50,4.711,40,28.97,89
2025-09-26 20:21:54,4.711,40,28.97,89
2025-09-26 20:21:58,4.711,40,28.97,89
2025-09-26 20:22:02,4.711,40,28.97,89
2025-09-26 20:22:05,4.711,40,28.97,89
2025-09-26 20:22:09,4.711,40,28.97,89
2025-09-26 20:22:13,4.711,40,28.97,89
2025-09-26 20:22:17,4.711,40,28.97,89
2025-09-26 20:22:21,4.711,40,28.97,89
2025-09-26 20:22:25,4.711,40,28.97,89
2025-09-26 20:22:29,4.711,40,28.97,89
2025-09-26 20:22:33,4.711,40,28.97,89
2025-09-26 20:22:37,4.711,40,28.97,89
2025-09-26 20:22:41,4.711,40,28.97,89
2025-09-26 20:22:45,4.711,40,28.97,89
2025-09-26 20:22:49,4.711,40,28.97,89
2025-09-26 20:22:53,4.711,40,28.97,89
2025-09-26 20:22:58,4.711,40,28.97,89
2025-09-26 20:23:02,4.711,40,28.97,89
2025-09-26 20:23:06,4.711,40,28.97,89
2025-09-26 20:23:10,4.711,40,28.97,89
2025-09-26 20:23:14,4.711,40,28.97,89
2025-09-26 20:23:18,4.711,40,28.97,89
2025-09-26 20:23:23,4.711,40,28.97,89
2025-09-26 20:23:27,4.711,40,28.97,89
2025-09-26 20:23:32,4.711,40,28.97,89
2025-09-26 20:23:36,4.711,40,28.97,89
2025-09-26 20:23:40,4.711,40,28.97,89
2025-09-26 20:23:44,4.711,40,28.97,89
2025-09-26 20:23:49,4.711,40,28.97,89
2025-09-26 20:23:53,4.711,40,28.97,89
2025-09-26 20:23:58,4.711,40,28.97,89
2025-09-26 20:24:02,4.711,40,28.97,89
2025-09-26 20:24:07,4.711,40,28.97,89
2025-09-26 20:24:11,4.711,40,28.97,89
2025-09-26 20:24:15,4.711,40,28.97,89
2025-09-26 20:24:20,4.711,40,28.97,89
2025-09-26 20:24:24,4.711,40,28.97,89
2025-09-26 20:24:29,4.711,40,28.97,89
